date,description,title,source_name,url,source,pdid,incidntnum,incident_code,category,descript,dayofweek,time,pddistrict,resolution,address,x,y,location,type
2024-01-01 01:01:00+00:00,OTHER OFFENSE: FALSE / STOLEN / ALTERED TRP,,,,police_chicago,,,,,,,,,,,,,063XX S TROY ST,OTHER OFFENSE
2024-01-01 01:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,074XX N RIDGE BLVD,CRIMINAL DAMAGE
2024-01-01 01:00:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,022XX S WHIPPLE ST,BATTERY
2024-01-01 01:00:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,047XX W GLADYS AVE,BATTERY
2024-01-01 01:00:00+00:00,BATTERY: AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,,,,police_chicago,,,,,,,,,,,,,047XX W JACKSON BLVD,BATTERY
2024-01-01 00:59:00+00:00,OTHER OFFENSE: LICENSE VIOLATION,,,,police_chicago,,,,,,,,,,,,,034XX W MONTROSE AVE,OTHER OFFENSE
2024-01-01 00:56:00+00:00,BATTERY: SIMPLE,,,,police_chicago,,,,,,,,,,,,,003XX N DEARBORN ST,BATTERY
2024-01-01 00:55:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,013XX S HARDING AVE,CRIMINAL DAMAGE
2024-01-01 00:54:00+00:00,ASSAULT: SIMPLE,,,,police_chicago,,,,,,,,,,,,,008XX W ADDISON ST,ASSAULT
2024-01-01 00:53:00+00:00,WEAPONS VIOLATION: UNLAWFUL POSSESSION - HANDGUN,,,,police_chicago,,,,,,,,,,,,,070XX S CARPENTER ST,WEAPONS VIOLATION
2024-01-01 00:50:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,128XX S EGGLESTON AVE,BATTERY
2024-01-01 00:44:00+00:00,BATTERY: AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,,,,police_chicago,,,,,,,,,,,,,017XX W 61ST ST,BATTERY
2024-01-01 00:41:00+00:00,OTHER OFFENSE: ANIMAL ABUSE / NEGLECT,,,,police_chicago,,,,,,,,,,,,,049XX W LAWRENCE AVE,OTHER OFFENSE
2024-01-01 00:38:00+00:00,WEAPONS VIOLATION: UNLAWFUL POSSESSION - HANDGUN,,,,police_chicago,,,,,,,,,,,,,022XX N MEADE AVE,WEAPONS VIOLATION
2024-01-01 00:32:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,003XX E NORTH WATER ST,BATTERY
2024-01-01 00:30:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,030XX W FOSTER AVE,BATTERY
2024-01-01 00:30:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,016XX W BEACH AVE,BATTERY
2024-01-01 00:25:00+00:00,BATTERY: SIMPLE,,,,police_chicago,,,,,,,,,,,,,012XX N CLYBOURN AVE,BATTERY
2024-01-01 00:25:00+00:00,BATTERY: SIMPLE,,,,police_chicago,,,,,,,,,,,,,022XX N CALIFORNIA AVE,BATTERY
2024-01-01 00:20:00+00:00,WEAPONS VIOLATION: RECKLESS FIREARM DISCHARGE,,,,police_chicago,,,,,,,,,,,,,058XX W BERENICE AVE,WEAPONS VIOLATION
2024-01-01 00:20:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,048XX S EVANS AVE,CRIMINAL DAMAGE
